cod_mun,mun,longitude,latitude
1301506,ENVIRA,-70.0304125429825,-7.439817543968379
1301605,FONTE BOA,-66.0965029898347,-2.51227068454779
1301654,GUAJARÁ,-72.5824305383396,-7.547774414833599
1301704,HUMAITÁ,-63.026698021928304,-7.51222495061139
1301803,IPIXUNA,-71.69441806030841,-7.050980114437209
1301852,IRANDUBA,-60.1933881661307,-3.2810538776068996
1301902,ITACOATIARA,-58.440175436757094,-3.14037880391635
1301951,ITAMARATI,-68.24791743597821,-6.43779934861918
1302009,ITAPIRANGA,-58.03454588396621,-2.74184275232884
1302108,JAPURÁ,-66.99690349464129,-1.880844858703
1302207,JURUÁ,-66.06304192554339,-3.4748895988906803
1302306,JUTAÍ,-66.7713275466878,-2.74464644685786
1302405,LÁBREA,-64.79477302752,-7.26194655332705
1302504,MANACAPURU,-60.6205894458706,-3.2982780354675496
1302553,MANAQUIRI,-60.4588813063745,-3.42907966935262
1302603,MANAUS,-60.023335181061,-3.1346914912019503
1302702,MANICORÉ,-61.299248408850794,-5.813205261188131
1302801,MARAÃ,-65.5742837031641,-1.86643687730125
1302900,MAUÉS,-57.7150343867525,-3.38642792621106
1303007,NHAMUNDÁ,-56.7167699133376,-2.1889837668969
1303106,NOVA OLINDA DO NORTE,-59.093074026043304,-3.8875928319113795
1303205,NOVO AIRÃO,-60.948810707829,-2.62343245902763
1303304,NOVO ARIPUANÃ,-60.3770456690009,-5.12266931419617
1303403,PARINTINS,-56.7362921451951,-2.6270525858372302
1303502,PAUINI,-67.00209748852821,-7.7140436443221905
1303536,PRESIDENTE FIGUEIREDO,-60.025646834467494,-2.058429085233
1303569,RIO PRETO DA EVA,-59.704738094199,-2.6933015416451003
1303601,SANTA ISABEL DO RIO NEGRO,-65.02002263951199,-0.416694831881864
1303700,SANTO ANTÔNIO DO IÇÁ,-67.9464851438841,-3.1074863091815095
1303809,SÃO GABRIEL DA CACHOEIRA,-67.08364289634629,-0.136462788116522
1303908,SÃO PAULO DE OLIVENÇA,-68.94485348813579,-3.46650962349132
1303957,SÃO SEBASTIÃO DO UATUMÃ,-57.8703463558346,-2.57015257967785
1304005,SILVES,-58.214800860826905,-2.83642742966584
1304062,TABATINGA,-69.94624437522721,-4.2318836756466505
1304104,TAPAUÁ,-63.18709486718021,-5.62422351778794
1304203,TEFÉ,-64.7084196633027,-3.34837249394151
1304237,TONANTINS,-67.7764822806952,-2.86109124983543
1304260,UARINI,-65.1553456401554,-2.9836092426920997
1304302,URUCARÁ,-57.759828174595604,-2.53661167184038
1304401,URUCURITUBA,-58.1596410413098,-3.1346331156472997
1400027,AMAJARI,-61.4205901726631,3.6521184454459
1400050,ALTO ALEGRE,-61.3140223901178,2.9938229476548397
1400100,BOA VISTA,-60.670532672965095,2.8166819191043904
1400159,BONFIM,-59.8780066289099,3.35028861911032
1400175,CANTÁ,-60.6020628476112,2.6076663984165096
1400209,CARACARAÍ,-61.149176870130006,1.8038712472975902
1400233,CAROEBE,-59.6948100736757,0.8726745071865619
1400282,IRACEMA,-61.0522585850197,2.1682147652038704
1400308,MUCAJAÍ,-60.911518530621606,2.47977223505342
1400407,NORMANDIA,-59.635206283568294,3.8829782853018098
1400456,PACARAIMA,-61.147306347149296,4.47525934021226
1400472,RORAINÓPOLIS,-60.425060493981896,0.9371953935975559
1400506,SÃO JOÃO DA BALIZA,-59.9060443451544,0.9471574274666809
1400605,SÃO LUIZ,-60.02826677419029,1.01811162739126
1400704,UIRAMUTÃ,-60.195716148042,4.58544038754255
1500107,ABAETETUBA,-48.88440382072311,-1.72346986284591
1500131,ABEL FIGUEIREDO,-48.396762125794496,-4.9513908955313
1500206,ACARÁ,-48.2004564317501,-1.9634365000000003
1500305,AFUÁ,-50.39142758923321,-0.159171693779797
1500347,ÁGUA AZUL DO NORTE,-50.4852745072531,-6.80494886740538
1500404,ALENQUER,-54.7408623501896,-1.951397505
1500503,ALMEIRIM,-52.57683508681271,-1.5273388027647798
1500602,ALTAMIRA,-52.21437630520779,-3.20565951
1500701,ANAJÁS,-49.94500104054401,-0.9844513940087021
1500800,ANANINDEUA,-48.372066654167995,-1.36871356826946
1500859,ANAPU,-51.2016217984581,-3.47610463506868
1500909,AUGUSTO CORRÊA,-46.6416457856711,-1.02292101
1500958,AURORA DO PARÁ,-47.556174603612796,-2.12937601319444
1501006,AVEIRO,-55.3307343898178,-3.60559525928393
1501105,BAGRE,-50.221986920613496,-1.88980806036172
1501204,BAIÃO,-49.6727533733253,-2.79196186136136
1501253,BANNACH,-50.4060471215195,-7.3510721924244
1501303,BARCARENA,-48.6270728925156,-1.505767005
1501402,BELÉM,-48.4878256874876,-1.459845
1501451,BELTERRA,-54.9426747393262,-2.64902016946856
1501501,BENEVIDES,-48.2418364505703,-1.361437515
1501576,BOM JESUS DO TOCANTINS,-48.5990399590615,-5.04736270432029
1501600,BONITO,-47.3058918168639,-1.36747435687254
1501709,BRAGANÇA,-46.765754213663996,-1.05352395620564
1501725,BRASIL NOVO,-52.5434411922788,-3.29780370400837
1501758,BREJO GRANDE DO ARAGUAIA,-48.4057604223874,-5.707296153836089
1501782,BREU BRANCO,-49.569879683285706,-3.77813541287867
1501808,BREVES,-50.4808947990195,-1.6907365
1501907,BUJARU,-48.035875014396,-1.5139914623006103
1501956,CACHOEIRA DO PIRIÁ,-46.5473914166255,-1.75289700493124
1502004,CACHOEIRA DO ARARI,-48.960667577387106,-1.00878626563928
1502103,CAMETÁ,-49.497830168997,-2.24683848
1502152,CANAÃ DOS CARAJÁS,-49.84895843191529,-6.5321966156294
1502202,CAPANEMA,-47.17512612313439,-1.192441995
1502301,CAPITÃO POÇO,-47.06282537740089,-1.7461872932375202
1502400,CASTANHAL,-47.9266431419442,-1.2957568050452501
1502509,CHAVES,-49.989318605071404,-0.162437290121912
1502608,COLARES,-48.288728431949394,-0.932091243957739
1502707,CONCEIÇÃO DO ARAGUAIA,-49.2645008124957,-8.26486353
1502756,CONCÓRDIA DO PARÁ,-47.949886939004706,-1.9845214627727499
1502764,CUMARU DO NORTE,-50.7715783775131,-7.81110653689927
1502772,CURIONÓPOLIS,-49.6022142249504,-6.09681995220666
1502806,CURRALINHO,-49.791522847085396,-1.8094234196669299
1502855,CURUÁ,-55.119678608730794,-1.88992870430549
1502905,CURUÇÁ,-47.851265085935204,-0.73249551
1502939,DOM ELISEU,-47.555914885993396,-4.29077772
1502954,ELDORADO DOS CARAJÁS,-49.3739519421522,-6.10352516107139
1503002,FARO,-56.745753017306996,-2.17297524194977
1503044,FLORESTA DO ARAGUAIA,-49.6975784122373,-7.55870087237008
1503077,GARRAFÃO DO NORTE,-47.045046017297295,-1.93169704310669
1503093,GOIANÉSIA DO PARÁ,-49.1010449237426,-3.842468
1503101,GURUPÁ,-51.643695723394096,-1.4049180000000001
1503200,IGARAPÉ-AÇU,-47.6223754920271,-1.124322
1503309,IGARAPÉ-MIRI,-48.9622994689466,-1.9831159999999999
1503408,INHANGAPI,-47.9133927465885,-1.4265819809103102
1503457,IPIXUNA DO PARÁ,-47.49971758879829,-2.5575285
1503507,IRITUIA,-47.4407556128483,-1.771474995
1503606,ITAITUBA,-55.9900488572777,-4.26372948
1503705,ITUPIRANGA,-49.32442586128611,-5.12883702636091
1503754,JACAREACANGA,-57.7663398583794,-6.223551731386451
1503804,JACUNDÁ,-49.1127815625675,-4.448405475
1503903,JURUTI,-56.0949976884001,-2.155252995
1504000,LIMOEIRO DO AJURU,-49.3815339012019,-1.8919485
1504059,MÃE DO RIO,-47.5522901794773,-2.04770744079076
1504109,MAGALHÃES BARATA,-47.5991818964912,-0.7958501560211609
1504208,MARABÁ,-49.14202533340671,-5.35260576313025
1504307,MARACANÃ,-47.45526795940761,-0.762419459981231
1504406,MARAPANIM,-47.7025487537677,-0.7121509963478191
1504422,MARITUBA,-48.340535877783005,-1.3464172655758
1504455,MEDICILÂNDIA,-52.88834535072429,-3.44541741218688
1504505,MELGAÇO,-50.7174646976964,-1.803446698641
1504604,MOCAJUBA,-49.509023461272896,-2.5828729732715296
1504703,MOJU,-48.7671991273719,-1.885889
1504802,MONTE ALEGRE,-54.07337472563599,-2.0033279999999998
1504901,MUANÁ,-49.21683244247371,-1.5300262083548999
1504950,NOVA ESPERANÇA DO PIRIÁ,-46.9620928836736,-2.2676259890312997
1504976,NOVA IPIXUNA,-49.079886938016394,-4.92308630702649
1505007,NOVA TIMBOTEUA,-47.393202276459895,-1.20414364746687
1505031,NOVO PROGRESSO,-55.4198701179784,-7.03483591328812
1505064,NOVO REPARTIMENTO,-49.948638244342604,-4.2481485
1505106,ÓBIDOS,-55.5163235097126,-1.9092354958812099
1505205,OEIRAS DO PARÁ,-49.8551061087735,-2.004734
1505304,ORIXIMINÁ,-55.8627995152359,-1.7637535
1505403,OURÉM,-47.11761936285011,-1.54894714230244
1505437,OURILÂNDIA DO NORTE,-51.09083277468161,-6.740617086377361
1505486,PACAJÁ,-50.634840830429795,-3.8303057037572996
1505494,PALESTINA DO PARÁ,-48.321793726163705,-5.74993410622605
1505502,PARAGOMINAS,-47.356961561051904,-2.9941904999999998
1505536,PARAUAPEBAS,-49.900780634297,-6.07272988763184
1505551,PAU D'ARCO,-50.0482755318998,-7.8367944039735695
1505601,PEIXE-BOI,-47.31792702155911,-1.18956924075654
1505635,PIÇARRA,-48.8684006672187,-6.4536762345579195
1505650,PLACAS,-54.2169681312654,-3.8673155621353597
1505700,PONTA DE PEDRAS,-48.8717855600433,-1.3965999975235
1505809,PORTEL,-50.822490442211,-1.936451
1505908,PORTO DE MOZ,-52.2424769190201,-1.74609008880885
1506005,PRAINHA,-53.4818139407895,-1.8056945
1506104,PRIMAVERA,-47.1172512589126,-0.9401115159305741
1506112,QUATIPURU,-47.006786993576,-0.900115853739325
1506138,REDENÇÃO,-50.0296418255093,-8.0276045
1506161,RIO MARIA,-50.046410877522405,-7.311115244688151
1506187,RONDON DO PARÁ,-48.0699737493982,-4.77782172703554
1506195,RURÓPOLIS,-54.905862259869096,-4.09906539
1506203,SALINÓPOLIS,-47.3531202631536,-0.623638
1506302,SALVATERRA,-48.5131865994469,-0.754525974353047
1506351,SANTA BÁRBARA DO PARÁ,-48.29774064978871,-1.22943946699244
1506401,SANTA CRUZ DO ARARI,-49.171615566125205,-0.659974125599254
1506500,SANTA ISABEL DO PARÁ,-48.163059940953104,-1.29739590129143
1506559,SANTA LUZIA DO PARÁ,-46.9061692026983,-1.5188278913875202
1506583,SANTA MARIA DAS BARREIRAS,-49.7193518572257,-8.870550539692939
1506609,SANTA MARIA DO PARÁ,-47.5746954138091,-1.3478664592967
1506708,SANTANA DO ARAGUAIA,-50.344804321129,-9.329424525
1506807,SANTARÉM,-54.718570167271096,-2.43621332999996
1506906,SANTARÉM NOVO,-47.400924744868,-0.928719535783208
1507003,SANTO ANTÔNIO DO TAUÁ,-48.13243307484571,-1.1516925
1507102,SÃO CAETANO DE ODIVELAS,-48.0258054980831,-0.7466177599948609
1507151,SÃO DOMINGOS DO ARAGUAIA,-48.7203734107844,-5.549841000000001
1507201,SÃO DOMINGOS DO CAPIM,-47.7747845692257,-1.6758145
1507300,SÃO FÉLIX DO XINGU,-51.9937825239643,-6.642483278340781
1507409,SÃO FRANCISCO DO PARÁ,-47.7905146107051,-1.1701887846769798
1507458,SÃO GERALDO DO ARAGUAIA,-48.5557124861926,-6.39895797
1507466,SÃO JOÃO DA PONTA,-47.9207241656462,-0.851002145269607
1507474,SÃO JOÃO DE PIRABAS,-47.1726742979205,-0.7664425315153709
1507508,SÃO JOÃO DO ARAGUAIA,-48.7886334020461,-5.359002724416411
1507607,SÃO MIGUEL DO GUAMÁ,-47.4824089444892,-1.6171359144904802
1507706,SÃO SEBASTIÃO DA BOA VISTA,-49.532312174616095,-1.7188505
1507755,SAPUCAIA,-49.7035807118843,-6.942857112573839
1507805,SENADOR JOSÉ PORFÍRIO,-51.9530564180171,-2.59485041832352
1507904,SOURE,-48.5160126622773,-0.7259255
1507953,TAILÂNDIA,-48.951281629575796,-2.9370795
1507961,TERRA ALTA,-47.907808348374395,-1.0348266636162902
1507979,TERRA SANTA,-56.490904772243205,-2.1081144737390303
1508001,TOMÉ-AÇU,-48.146896586572,-2.41936685526733
1508035,TRACUATEUA,-46.8994783371171,-1.06878405856835
1508050,TRAIRÃO,-55.9961700349273,-4.699819149697269
1508084,TUCUMÃ,-51.1395392466358,-6.74997200738229
1508100,TUCURUÍ,-49.6671843672248,-3.7668890843116403
1508126,ULIANÓPOLIS,-47.5031447549992,-3.75719301
1508159,URUARÁ,-53.73703105045939,-3.7065285000000006
1508209,VIGIA,-48.1414985852069,-0.8555325736677629
1508308,VISEU,-46.1387652161496,-1.20327852667727
1508357,VITÓRIA DO XINGU,-52.0112603538154,-2.8837657102287997
1508407,XINGUARA,-49.9427005843752,-7.10151282714604
1600055,SERRA DO NAVIO,-52.003538435291794,0.8978410409719241
1600105,AMAPÁ,-50.7932144702699,2.05392124468205
